Gene name	Adrenal gland	Appendix	Brain	Colon	Duodenum	Endometrium	Esophagus	Fallopian tube	Fat	Gallbladder	Heart	Kidney	Liver	Lung	Lymph node	Ovary	Pancreas	Placenta	Prostate	Rectum	Salivary gland	Small intestine	Smooth muscle	Spleen	Stomach	Testis	Thyroid	Tonsil	Urinary bladder
FAM26E	7515932.054	7695044.382	0	12314117.66	20695051.02	2619459.328	10408410.09	5678755.837	23055922.50	33078378.44	6445675.79	4796537.217	3977337.65	11324434.78	0	2553206.084	0	55749349.88	7668067.767	10450967.98	4026545.88	5814750.947	35040771.95	4793304.41	17403465.47	6417752.701	2894639.745	1451157.657	9747776.769
FAM26F	1119868.751	623230.1881	0	0	1032876.428	0	0	50940.26515	0.00	0	0.00	0	786951.54	26658111.49	16450300.41	1903450.936	1988747.89	0	0	0	1009829.926	0	0	25396831.76	0	0	0	1323680.479	0
FAM32A	5135118.218	3415879.736	5802465.022	0	17121589.29	4286695.918	5413615.377	341526.6978	2855163.28	0	0.00	3051073.94	11908316.27	10695682.95	11747546.27	0	0	19148753.94	7307179.798	3931887.018	8071447.425	14535716.51	6761533.121	8649868.927	3244179.658	0	3987373.742	21100394.07	6170931.353
FAM3A	952827.9428	973803.2334	1021355.494	2806743.728	2640823.843	0	0	447266.4162	223494.77	0	0.00	0	0.00	365814.8566	88995.36772	0	5380768.637	0	1583418.231	0	2356609.748	367412.3926	653003.4855	0	610770.5442	0	6085537.924	318153.6772	0
FAM3B	187981.1988	6930440.01	21360184.44	0	27084903.82	0	842657.6193	184475.296	0.00	5897071.034	9805908.51	291379.7567	133204.90	503001.4669	4409610.269	601848.5787	27130301.97	1429824.361	35601794.1	3975234.942	70422420.75	49082348.73	2484243.961	5039278.287	123159049.9	2006504.319	4338837163	6692626.767	13390860.06
FAM3C	41585363.97	7603835.231	27560969.66	20814209.32	58002142.74	51218490.32	35836238.75	44287808.43	47536232.94	14509696.81	56179557.22	25742871.38	19397944.44	63435607.6	33469248.06	26587010.86	311648946.8	115915895.6	39890055.19	55878335.41	71348791.44	86611812.36	30410806.62	32950998.87	63359494.36	52695389.2	454042279.3	29483778.67	20231930.28
FAM3D	0	0	0	19293494.58	29456070.51	3012690.484	3433214.706	402619.9093	1102054.70	17138515.54	768070.60	232349.6247	180664.88	149561.4954	1123804.664	19489410.94	469753.4396	436494.8181	10232759.27	156101387.2	497030614.7	34826399.64	1219379.311	0	20033926.51	0	0	3091958.214	274695.9633
FAM43A	0	0	0	322226.2968	260651.7601	89005.72859	138226.7436	120630.7912	369651.03	0	0.00	0	0.00	67701.59562	0	2593830.985	0	283869.2881	0	0	77880.61722	0	0	141235.1182	72715.45856	127514.7181	50376.42366	32028.07935	0
FAM45A	40810649.92	119940033.6	26926952.04	21953980.43	14092676.09	16067964.85	29269672.2	16422537.04	8434803.83	42590645.85	15600862.89	52637676.2	23952888.37	8275229.95	8351954.389	21231984.03	20647485.37	19802417.14	4832977.482	100789157.5	16258181.31	11249900.46	5171872.914	8702701.752	17411067.42	19548479.44	37821660.66	5937725.192	8832363.751
FAM46A	1400614.673	0	2016311.187	1463619.094	608084.4375	0	0	300696.1317	504514.38	0	111573.13	0	0.00	9148304.67	4240987.686	1006621.791	3370879.45	70028852.49	629291.7164	0	71922003.43	3911636.013	202105.3543	0	4471060.655	0	62534.0105	2806595.083	0
